,Author,Title,Poem
51,Maya Angelou,Phenomenal Woman,"Pretty women wonder where my secret lies.
I'm not cute or built to suit a fashion model's size
But when I start to tell them,
They think I'm telling lies.
I say,
It's in the reach of my arms
The span of my hips,
The stride of my step,
The curl of my lips.
I'm a woman
Phenomenally.
Phenomenal woman,
That's me.
I walk into a room
Just as cool as you please,
And to a man,
The fellows stand or
Fall down on their knees.
Then they swarm around me,
A hive of honey bees.
I say,
It's the fire in my eyes,
And the flash of my teeth,
The swing in my waist,
And the joy in my feet.
I'm a woman
Phenomenally.
Phenomenal woman,
That's me.
Men themselves have wondered
What they see in me.
They try so much
But they can't touch
My inner mystery.
When I try to show them
They say they still can't see.
I say,
It's in the arch of my back,
The sun of my smile,
The ride of my breasts,
The grace of my style.
I'm a woman
Phenomenally.
Phenomenal woman,
That's me.
Now you understand
Just why my head's not bowed.
I don't shout or jump about
Or have to talk real loud.
When you see me passing
It ought to make you proud.
I say,
It's in the click of my heels,
The bend of my hair,
the palm of my hand,
The need of my care,
'Cause I'm a woman
Phenomenally.
Phenomenal woman,
That's me."
52,Edgar Allan Poe,Romance,"Romance, who loves to nod and sing
With drowsy head and folded wing
Among the green leaves as they shake
Far down within some shadowy lake,
To me a painted paroquet
Hath been—most familiar bird—
Taught me my alphabet to say,
To lisp my very earliest word
While in the wild wood I did lie,
A child—with a most knowing eye.
Of late, eternal condor years
So shake the very Heaven on high
With tumult as they thunder by,
I have no time for idle cares
Through gazing on the unquiet sky;
And when an hour with calmer wings
Its down upon my spirit flings,
That little time with lyre and rhyme
To while away—forbidden things—
My heart would feel to be a crime
Unless it trembled with the strings."
53,E. E. Cummings,Seeker Of Truth,"seeker of truth
follow no path
all paths lead where
truth is here"
54,William Shakespeare,Seven Ages Of Man,"All the world's a stage,
And all the men and women merely players,
They have their exits and entrances,
And one man in his time plays many parts,
His acts being seven ages. At first the infant,
Mewling and puking in the nurse's arms.
Then, the whining schoolboy with his satchel
And shining morning face, creeping like snail
Unwillingly to school. And then the lover,
Sighing like furnace, with a woeful ballad
Made to his mistress' eyebrow. Then a soldier,
Full of strange oaths, and bearded like the pard,
Jealous in honour, sudden, and quick in quarrel,
Seeking the bubble reputation
Even in the cannon's mouth. And then the justice
In fair round belly, with good capon lin'd,
With eyes severe, and beard of formal cut,
Full of wise saws, and modern instances,
And so he plays his part. The sixth age shifts
Into the lean and slipper'd pantaloon,
With spectacles on nose, and pouch on side,
His youthful hose well sav'd, a world too wide,
For his shrunk shank, and his big manly voice,
Turning again towards childish treble, pipes
And whistles in his sound. Last scene of all,
That ends this strange eventful history,
Is second childishness and mere oblivion,
Sans teeth, sans eyes, sans taste, sans everything."
55,Shel Silverstein,Sick,"""I cannot go to school today,""
Said little Peggy Ann McKay,
""I have the measles and the mumps,
A gash, a rash, and purple bumps.
My mouth is wet, my throat is dry,
I'm going blind in my right eye.
My tonsils are as big as rocks,
I've counted sixteen chicken pox
And there's one more--that's seventeen,
And don't you think my face looks green?
My leg is cut, my eyes are blue--
It might be instamatic flu.
I cough and sneeze and gasp and choke,
I'm sure that my left leg is broke--
My hip hurts when I move my chin,
My belly button's caving in,
My back is wrenched, my ankle's sprained,
My 'pendix pains each time it rains.
My nose is cold, my toes are numb,
I have a sliver in my thumb.
My neck is stiff, my voice is weak,
I hardly whisper when I speak.
My tongue is filling up my mouth,
I think my hair is falling out.
My elbow's bent, my spine ain't straight,
My temperature is one-o-eight.
My brain is shrunk, I cannot hear,
There is a hole inside my ear.
I have a hangnail, and my heart is--what?
What's that? What's that you say?
You say today is---Saturday?
G'bye, I'm going out to play!"""
56,Maya Angelou,Still I Rise,"You may write me down in history
With your bitter, twisted lies,
You may trod me in the very dirt
But still, like dust, I'll rise.
Does my sassiness upset you?
Why are you beset with gloom?
'Cause I walk like I've got oil wells
Pumping in my living room.
Just like moons and like suns,
With the certainty of tides,
Just like hopes springing high,
Still I'll rise.
Did you want to see me broken?
Bowed head and lowered eyes?
Shoulders falling down like teardrops.
Weakened by my soulful cries.
Does my haughtiness offend you?
Don't you take it awful hard
'Cause I laugh like I've got gold mines
Diggin' in my own back yard.
You may shoot me with your words,
You may cut me with your eyes,
You may kill me with your hatefulness,
But still, like air, I'll rise.
Does my sexiness upset you?
Does it come as a surprise
That I dance like I've got diamonds
At the meeting of my thighs?
Out of the huts of history's shame
I rise
Up from a past that's rooted in pain
I rise
I'm a black ocean, leaping and wide,
Welling and swelling I bear in the tide.
Leaving behind nights of terror and fear
I rise
Into a daybreak that's wondrously clear
I rise
Bringing the gifts that my ancestors gave,
I am the dream and the hope of the slave.
I rise
I rise
I rise."
57,Robert Frost,Stopping by Woods on a Snowy Evening,"Whose woods these are I think I know.
His house is in the village, though;
He will not see me stopping here
To watch his woods fill up with snow.
My little horse must think it queer
To stop without a farmhouse near
Between the woods and frozen lake
The darkest evening of the year.
He gives his harness bells a shake
To ask if there is some mistake.
The only other sound's the sweep
Of easy wind and downy flake.
The woods are lovely, dark and deep,
But I have promises to keep,
And miles to go before I sleep,
And miles to go before I sleep."
58,Emily Dickinson,Success Is Counted Sweetest,"Success is counted sweetest
By those who ne'er succeed.
To comprehend a nectar
Requires sorest need. 
Not one of all the purple Host
Who took the Flag today
Can tell the definition
So clear of Victory 
As he defeated-dying
On whose forbidden ear
The distant strains of triumph
Burst agonized and clear!"
59,Dante Gabriel Rossetti,The Blessed Damozel,"The blessed damozel leaned out
From the gold bar of Heaven;
Her eyes were deeper than the depth
Of waters stilled at even;
She had three lilies in her hand,
And the stars in her hair were seven.
Her robe, ungirt from clasp to hem,
No wrought flowers did adorn,
But a white rose of Mary's gift,
For service meetly worn;
Her hair that lay along her back
Was yellow like ripe corn.
Herseemed she scarce had been a day
One of God's choristers;
The wonder was not yet quite gone
From that still look of hers;
Albeit, to them she left, her day
Had counted as ten years.
(To one, it is ten years of years.
...Yet now, and in this place,
Surely she leaned o'er me -her hair
Fell all about my face...
Nothing: the autumn-fall of leaves.
The whole year sets apace.)
It was the rampart of God's house
That she was standing on;
By God built over the sheer depth
The which is Space begun;
So high, that looking downward thence
She scarce could see the sun.
It lies in Heaven, across the flood
Of ether, as a bridge.
Beneath, the tides of day and night
With flame and darkness ridge
The void, as low as where this earth
Spins like a fretful midge.
Around her, lovers, newly met
Mid deathless love's acclaims,
Spoke evermore among themselves
Their heart-remembered names;
And the souls mounting up to God
Went by her like thin flames.
And still she bowed herself and stooped
Out of the circling charm;
Until her bosom must have made
The bar she leaned on warm,
And the lilies lay as if asleep
Along her bended arm.
From the fixed place of Heaven she saw
Time like a pulse shake fierce
Through all the worlds. Her gaze still strove
Within the gulf to pierce
Its path; and now she spoke as when
The stars sang in their spheres.
The sun was gone now; the curled moon
Was like a little feather
Fluttering far down the gulf; and now
She spoke through the still weather.
Her voice was like the voice the stars
Had when they sang together.
(Ah sweet! Even now, in that bird's song,
Strove not her accents there,
Fain to be hearkened? When those bells
Possessed the midday air,
Strove not her steps to reach my side
Down all the echoing stair?)
""I wish that he were come to me,
For he will come,"" she said.
""Have I not prayed in Heaven? -on earth,
Lord, Lord, has he not prayed?
Are not two prayers a perfect strength?
And shall I feel afraid?
""When round his head the aureole clings,
And he is clothed in white,
I'll take his hand and go with him
To the deep wells of light;
As unto a stream we will step down,
And bathe there in God's sight.
""We two will stand beside that shrine,
Occult, withheld, untrod,
Whose lamps are stirred continually
With prayer sent up to God;
And see our old prayers, granted, melt
Each like a little cloud.
""We two will lie i' the shadow of
That living mystic tree
Within whose secret growth the Dove
Is sometimes felt to be,
While every leaf that His plumes touch
Saith His Name audibly.
""And I myself will teach to him,
I myself, lying so,
The songs I sing here; with his voice
Shall pause in, hushed and slow,
And find some knowledge at each pause,
Or some new thing to know.""
(Alas! we two, we two, thou sayst!
Yea, one wast thou with me
That once of old. But shall God lift
To endless unity
The soul whose likeness with thy soul
Was but its love for thee?)
""We two,"" she said, ""will seek the groves
Where the lady Mary is,
With her five handmaidens, whose names
Are five sweet symphonies,
Cecily, Gertrude, Magdalen,
Margaret and Rosalys.
""Circlewise sit they, with bound locks
And foreheads garlanded;
Into the fine cloth white like flame
Weaving the golden thread,
To fashion the birth-robes for them
Who are just born, being dead.
""He shall fear, haply, and be dumb:
Then will I lay my cheek
To his, and tell about our love,
Not once abashed or weak:
And the dear Mother will approve
My pride, and let me speak.
""Herself shall bring us, hand in hand,
To Him round Whom all souls
Kneel, the clear-ranged unnumbered heads
Bowed with their aureoles:
And angels meeting us shall sing
To their citherns and citoles.
""There will I ask of Christ the Lord
Thus much for him and me: -
Only to live as once on earth
With Love, -only to be,
As then awhile, for ever now
Together, I and he.""
She gazed and listened and then said,
Less sad of speech than mild, -
""All this is when he comes."" She ceased.
The light thrilled towards her, filled
With angels in strong level flight.
Her eyes prayed, and she smiled.
(I saw her smile.) But soon their path
Was vague in distant spheres:
And then she cast her arms along
The golden barriers,
And laid her face between her hands,
And wept. (I heard her tears.)"
60,William Barnes,The Broken Heart,"News o' grief had overteaken
Dark-eyed Fanny, now vorseaken;
There she zot, wi' breast a-heaven,
While vrom zide to zide, wi' grieven,
Vell her head, wi' tears a-creepen
Down her cheaks, in bitter weepen.
There wer still the ribbon-bow
She tied avore her hour ov woe,
An' there wer still the hans that tied it
Hangen white,
Or wringen tight,
In ceare that drowned all ceare bezide it.
When a man, wi' heartless slighten,
Mid become a maiden's blighten,
He mid cearelessly vorseake her,
But must answer to her Meaker;
He mid slight, wi' selfish blindness,
All her deeds o' loven-kindness,
God wull waigh 'em wi' the slighten
That mid be her love's requiten;
He do look on each deceiver,
He do know
What weight o' woe
Do break the heart ov ev'ry griever."
61,Lord Alfred Tennyson,The Charge of the Light Brigade,"Half a league, half a league,
Half a league onward,
All in the valley of Death
Rode the six hundred.
""Forward, the Light Brigade!
Charge for the guns!"" he said:
Into the valley of Death
Rode the six hundred.
""Forward, the Light Brigade!""
Was there a man dismayed?
Not though the soldier knew
Some one had blundered:
Their's not to make reply,
Their's not to reason why,
Their's but to do and die:
Into the valley of Death
Rode the six hundred.
Cannon to right of them,
Cannon to left of them,
Cannon in front of them
Volleyed and thundered;
Stormed at with shot and shell,
Boldly they rode and well,
Into the jaws of Death,
Into the mouth of Hell
Rode the six hundred.
Flashed all their sabres bare,
Flashed as they turned in air
Sabring the gunners there,
Charging an army, while
All the world wondered:
Plunged in the battery-smoke
Right through the line they broke;
Cossack and Russian
Reeled from the sabre-stroke
Shattered and sundered.
Then they rode back, but not,
Not the six hundred.
Cannon to right of them,
Cannon to left of them,
Cannon behind them
Volleyed and thundered;
Stormed at with shot and shell,
While horse and hero fell,
They that had fought so well
Came through the jaws of Death
Back from the mouth of Hell,
All that was left of them,
Left of six hundred.
When can their glory fade?
O the wild charge they made!
All the world wondered.
Honour the charge they made!
Honour the Light Brigade,
Noble six hundred!"
62,Oscar Wilde,The Dole of the King's Daughter,"Seven stars in the still water,
And seven in the sky;
Seven sins on the King's daughter,
Deep in her soul to lie. 
Red roses at her feet,
(Roses are red in her red-gold hair)
And O where her bosom and girdle meet
Red roses are hidden there. 
Fair is the knight who lieth slain
Amid the rush and reed,
See the lean fishes that are fain
Upon dead men to feed. 
Sweet is the page that lieth there,
(Cloth of gold is goodly prey,)
See the black ravens in the air,
Black, O black as the night are they. 
What do they there so stark and dead?
(There is blood upon her hand)
Why are the lilies flecked with red?
(There is blood on the river sand.) 
There are two that ride from the south to the east,
And two from the north and west,
For the black raven a goodly feast,
For the King's daughter to rest. 
There is one man who loves her true,
(Red, O red, is the stain of gore!)
He hath duggen a grave by the darksome yew,
(One grave will do for four.) 
No moon in the still heaven,
In the black water none,
The sins on her soul are seven,
The sin upon his is one."
63,Robert Herrick,"The Fairy Temple; Or, Oberon's Chapel","RARE TEMPLES THOU HAST SEEN, I KNOW,
AND RICH FOR IN AND OUTWARD SHOW;
SURVEY THIS CHAPEL BUILT, ALONE,
WITHOUT OR LIME, OR WOOD, OR STONE.
THEN SAY, IF ONE THOU'ST SEEN MORE FINE
THAN THIS, THE FAIRIES' ONCE, NOW THINE.
THE TEMPLE
A way enchaced with glass and beads
There is, that to the Chapel leads;
Whose structure, for his holy rest,
Is here the Halcyon's curious nest;
Into the which who looks, shall see
His Temple of Idolatry;
Where he of god-heads has such store,
As Rome's Pantheon had not more.
His house of Rimmon this he calls,
Girt with small bones, instead of walls.
First in a niche, more black than jet,
His idol-cricket there is set;
Then in a polish'd oval by
There stands his idol-beetle-fly;
Next, in an arch, akin to this,
His idol-canker seated is.
Then in a round, is placed by these
His golden god, Cantharides.
So that where'er ye look, ye see
No capital, no cornice free,
Or frieze, from this fine frippery.
Now this the Fairies would have known,
Theirs is a mixt religion:
And some have heard the elves it call
Part Pagan, part Papistical.
If unto me all tongues were granted,
I could not speak the saints here painted.
Saint Tit, Saint Nit, Saint Is, Saint Itis,
Who 'gainst Mab's state placed here right is.
Saint Will o' th' Wisp, of no great bigness,
But, alias, call'd here FATUUS IGNIS.
Saint Frip, Saint Trip, Saint Fill, Saint Filly;--
Neither those other saint-ships will I
Here go about for to recite
Their number, almost infinite;
Which, one by one, here set down are
In this most curious calendar.
First, at the entrance of the gate,
A little puppet-priest doth wait,
Who squeaks to all the comers there,
'Favour your tongues, who enter here.
'Pure hands bring hither, without stain.'
A second pules, 'Hence, hence, profane!'
Hard by, i' th' shell of half a nut,
The holy-water there is put;
A little brush of squirrels' hairs,
Composed of odd, not even pairs,
Stands in the platter, or close by,
To purge the fairy family.
Near to the altar stands the priest,
There offering up the holy-grist;
Ducking in mood and perfect tense,
With (much good do't him) reverence.
The altar is not here four-square,
Nor in a form triangular;
Nor made of glass, or wood, or stone,
But of a little transverse bone;
Which boys and bruckel'd children call
(Playing for points and pins) cockall.
Whose linen-drapery is a thin,
Sub|ile, and ductile codling's skin;
Which o'er the board is smoothly spread
With little seal-work damasked.
The fringe that circumbinds it, too,
Is spangle-work of trembling dew,
Which, gently gleaming, makes a show,
Like frost-work glitt'ring on the snow.
Upon this fetuous board doth stand
Something for shew-bread, and at hand
(Just in the middle of the altar)
Upon an end, the Fairy-psalter,
Graced with the trout-flies' curious wings,
Which serve for watchet ribbonings.
Now, we must know, the elves are led
Right by the Rubric, which they read:
And if report of them be true,
They have their text for what they do;
Ay, and their book of canons too.
And, as Sir Thomas Parson tells,
They have their book of articles;
And if that Fairy knight not lies
They have their book of homilies;
And other Scriptures, that design
A short, but righteous discipline.
The bason stands the board upon
To take the free-oblation;
A little pin-dust, which they hold
More precious than we prize our gold;
Which charity they give to many
Poor of the parish, if there's any.
Upon the ends of these neat rails,
Hatch'd with the silver-light of snails,
The elves, in formal manner, fix
Two pure and holy candlesticks,
In either which a tall small bent
Burns for the altar's ornament.
For sanctity, they have, to these,
Their curious copes and surplices
Of cleanest cobweb, hanging by
In their religious vestery.
They have their ash-pans and their brooms,
To purge the chapel and the rooms;
Their many mumbling mass-priests here,
And many a dapper chorister.
Their ush'ring vergers here likewise,
Their canons and their chaunteries;
Of cloister-monks they have enow,
Ay, and their abbey-lubbers too:--
And if their legend do not lie,
They much affect the papacy;
And since the last is dead, there's hope
Elve Boniface shall next be Pope.
They have their cups and chalices,
Their pardons and indulgences,
Their beads of nits, bells, books, and wax-
Candles, forsooth, and other knacks;
Their holy oil, their fasting-spittle,
Their sacred salt here, not a little.
Dry chips, old shoes, rags, grease, and bones,
Beside their fumigations.
Many a trifle, too, and trinket,
And for what use, scarce man would think it.
Next then, upon the chanter's side
An apple's-core is hung up dried,
With rattling kernels, which is rung
To call to morn and even-song.
The saint, to which the most he prays
And offers incense nights and days,
The lady of the lobster is,
Whose foot-pace he doth stroke and kiss,
And, humbly, chives of saffron brings
For his most cheerful offerings.
When, after these, he's paid his vows,
He lowly to the altar bows;
And then he dons the silk-worm's shed,
Like a Turk's turban on his head,
And reverently departeth thence,
Hid in a cloud of frankincense;
And by the glow-worm's light well guided,
Goes to the Feast that's now provided."
64,Alfred Noyes,The Highwayman,"PART ONE
The wind was a torrent of darkness among the gusty trees,
The moon was a ghostly galleon tossed upon cloudy seas,
The road was a ribbon of moonlight over the purple moor,
And the highwayman came riding--
Riding--riding--
The highwayman came riding, up to the old inndoor.
He'd a French cocked-hat on his forehead, a bunch of lace at his chin,
A coat of claret velvet, and breeches of brown doeskin;
They fitted with never a wrinkle: his boots were up to the thigh!
And he rode with a jewelled twinkle,
His pistol butts a-twinkle
His rapier hilt a-twinkle, under the jewelled sky.
Over the cobbles he clattered and clashed in the dard inn-yard,
And he tapped with his whip on the shutters, but all was locked and barred;
He whistled a tune to the window, and who should be waiting there
But the landlord's black-eyed daughter,
Bess, the landlord's daughter,
Plaiting a dark red love-knot into her long black hair.
And dark in the dark old inn-yard a stable-wicket creaked
Where Tim the ostler listened; his face was white and peaked;
His eyes were hollows of madness, his hair like moldy hay,
But he loved the landlord's daughter,
The landlord's red-lipped daughter,
Dumb as a dog he listened, and heard the robber say--
""One kiss, my bonny sweetheart, I'm after a prize tonight,
But I shall be back with the yellow gold before morning light;
Yet, if they press me sharply, and harry me through the day,
Then look for me by moonlight,
Watch for me by moonlight,
I'll come to thee by moonlight, though hell should bar the way.""
He rose upright in the stirrups; he scarce could reach her hand,
But she loosened her hair i' the casement! His face burnt like a brand
As the black cascade of perfume came tumbling over his breast;
And he kissed its waves in the moonlight,
(Oh, sweet black waves in the moonlight!)
Then he tugged at his rein in the moonlight, and galloped away to the West.
PART TWO
He did not come in the dawning; he did not come at noon;
And out o' the tawny sunset, before the rise o' the moon,
When the road was a gypsy's ribbon, looping the purple moor,
A red coat troop came marching--
marching--marching--
King George's men came marching, up to the old inn-door.
They said no word to the landlord, they drank his ale instead,
But they gagged his daughter and bound her to the foot of her narrow bed;
Two fo them knelt at her casement, with muskets at their side!
There was death at every window;
And hell at one dark window;
For Bess could see, through her casement, the road that he would ride.
They had tied her up to attention, with many a sniggering jest;
They had bound a musket beside her, with the barrel beneath her breast!
""Now keep good watch!"" and they kissed her. She heard the dead man say--
Look for me by moonlight;
Watch for me by moonlight;
I'll come to thee by moonlight, though hell should bar the way!
She twisted her hands behind her; but all the knots held good!
She writhed her hands till her fingers were wet with sweat or blood!
They stretched and strained in the darkness, and the hours crawled by like years,
Till, now, on the stroke of midnight,
Cold, on the stroke of midnight,
The tip of one finger touched it! The trigger at least was hers!
The tip of one finger touched it; she strove no more for rest!
Up, she stood to attention, with the barrel beneath her breast,
She would not risk their hearing; she would not strive again;
For the road lay bare in the moonlight;
Blank and bare in the moonlight;
And the blood of her veins in the moonlight throbbed to her love's refrain
Tlot-tlot; tlot-tlot! Had they heard it? This horse-hoofs ringing clear;
Tlot-tlot, tlot-tlot, in the distance? Were they deaf that they did not hear?
Down the ribbon of moonlight, over the brow of the hill,
The highwayman came riding,
Riding, riding!
The red-coats looked to their priming! She stood up, straight and still!
Tlot-tlot, in the frosty silence! Tlot-tlot in the echoing night!
Nearer he came and nearer! Her face was like a light!
Her eyes grew wide for a moment; she drew one last deep breath,
Then her finger moved in the moonlight,
Her musket shattered the moonlight,
Shattered her breast in the moonlight and warned him; with her death.
He turned; he spurred to the West; he did not know who stood
Bowed, with her head o'er the musket, drenched with her own red blood!
Not till the dawn he heard it, his face grew gray to hear
How Bess, the landlord's daughter,
The landlords black-eyed daughter,
Had watched her love in the moonlight, and died in the darkness there.
Back, he spurred like a madman, shreiking a curse to the sky,
with the white road smoking behind him, and his rapier brain dished high!
Blood-red were his spurs i' the golden noon; wine-red was his velvet coat.
When they shot him down in the highway,
Down like a dog on the highway,
And he lay his blood on the highway, with a bunch of lace at his throat.
And still of a winter's night, they say, when the wind is in the trees,
When the moon is a ghostly galleon tossed upon cluody seas,
When the road is a ribbon of moonlight over the purple moor,
A highwayman comes riding--
Riding--riding--
A highwayman comes riding, up to the old inn-door.
Over the cobbles he clatters and clangs in the dark inn-yard;
He taps with his whip on the shutters, but all is locked and barred;
He whistles a tune to the window, and who should be waiting there
But the landlord's daughter,
Bess, the landlord's daughter,
Plaiting a dark red love-knot into her long black hair.

Last updated August 31, 2015


Highwayman Poem

The Highwayman poem tells the story of an unnamed highwayman who was in love with Bess, a landlord's daughter. Betrayed to the authorities by Tim, a jealous ostler, the highwayman escapes ambush when Bess sacrifices her life to warn him. Learning of her death, he dies in a futile attempt at revenge, shot down on the highway. In the final stanza, the ghosts of the lovers meet again on winter nights. This poem is reputed to be the best narrative poem of all time for oral delivery.
The poem makes effective use of vivid imagery for the background and of repetitious phrases to create the sense of a horseman riding at ease through the rural darkness to a lovers' tryst or of soldiers marching down the same road to ambush him. Almost half a century later, Noyes wrote, ""I think the success of the poem... was because it was not an artificial composition, but was written at an age when I was genuinely excited by that kind of romantic story"".


4.4 stars - based on 285 reviews
  "
65,Sir Walter Scott,The Lady of the Lake (excerpt),"CANTO SECOND - THE ISLAND (Part II)
Hail to the chief who in triumph advances!
Honoured and blessed be the ever-green pine!
Long may the tree in his banner that glances,
Flourish the shelter and grace of our line!
Heaven send it happy dew,
Earth lend it sap anew;
Gaily to burgeon, and broadly to grow,
While every Highland glen
Sends our shout back agen,
Roderigh Vich Alpine dhu, ho! ieroe!
Ours is no sapling, chance-sown by the fountain,
Blooming at Beltane, *** in winter to fade;
When the whirlwind has stripped every leaf on the mountain,
The more shall Clan Alpine exult in her shade.
Moored on the rifted rock,
Proof to the tempest's shock,
Firmer he roots him the ruder it blow;
Menteith and Breadalbane, then
Echo his praise agen,
Roderigh Vich Alpine dhu, ho! ieroe!
Proudly our pibroch has thrilled in Glen Fruin,
And Banochar's groans to our slogan replied:
Glen Luss and Ross-dhu, they are smoking in ruin,
And the best of Loch-Lomond lie dead on her side.
Widow and Saxon maid,
Long shall lament our raid,
Think of Glen-Alpine with fear and with woe;
Lennox and Leven-glen
Shake when they hear agen,
Roderigh Vich Alpine dhu, ho! ieroe!
Row, vassals, row, for the pride of the Highlands!
Stretch to your oars, for the ever-green pine!
O! that the rosebud that graces yon islands,
Were wreathed in a garland around him to twine!
O that some seedling gem
Worthy such noble stem,
Honoured and blessed in their shadow might grow!
Loud should Clan Alpine then
Ring from her deepmost glen,
Roderigh Vich Alpine dhu, ho! ieroe!
CANTO THIRD - THE GATHERING (Part II)
The heath this night must be my bed,
The bracken curtain for my head,
My lullaby the warder's tread,
Far, far from love and thee, Mary
To-morrow eve, more stilly laid,
My couch may be my bloody plaid,
My vesper song, thy wail, sweet maid!
It will not waken me, Mary!
I may not, dare not, fancy now
The grief that clouds thy lovely brow;
I dare not think upon thy vow,
And all it promised me, Mary.
No fond regret must Norman know;
When bursts Clan Alpine on the foe,
His heart must be like bended bow,
His foot like arrow free, Mary.
A time will come with feeling fraught!
For, if I fall in battle fought,
Thy hapless lover's dying thought
Shall be a thought on thee, Mary
And if returned from conquered foes,
How blithely will the evening close,
How sweet the linnet sing repose
To my young bride and me, Mary.
CANTO SIXTH - THE GUARD ROOM (Part II) - LAMENT
""And art thou cold and lowly laid,
Thy foeman's dread, thy people's aid,
Breadalbane's boast, Clan Alpine's shade!
For thee shall none a requiem say?
For thee, who loved the minstrel's lay,
For thee, of Bothwell's house the stay,
The shelter of her exiled line,
E'en in this prison-house of thine,
I'll wail for Alpine's honoured pine!
""What groans shall yonder valleys fill!
What shrieks of grief shall rend yon hill!
What tears of burning rage shall thrill,
When mourns thy tribe thy battles done,
Thy fall before the race was won,
Thy sword ungirt ere set of sun!
There breathes not clansman of thy line,
But would have given his life for thine!
But, woe for Alpine's honoured pine!
""Sad was thy lot on mortal stage!
The captive thrush may brook the cage,
The prisoned eagle dies for rage.
Brave spirit, do not scorn my strain!
And, when its notes awake again,
Even she, so long beloved in vain,
Shall with my harp her voice combine,
And mix her woe and tears with mine,
To wail Clan Alpine's honoured pine!"""
66,Gwendolyn Brooks,The Mother,"Abortions will not let you forget.
You remember the children you got that you did not get,
The damp small pulps with a little or with no hair,
The singers and workers that never handled the air.
You will never neglect or beat
Them, or silence or buy with a sweet.
You will never wind up the sucking-thumb
Or scuttle off ghosts that come.
You will never leave them, controlling your luscious sigh,
Return for a snack of them, with gobbling mother-eye.
I have heard in the voices of the wind the voices of my dim killed
children.
I have contracted. I have eased
My dim dears at the breasts they could never suck.
I have said, Sweets, if I sinned, if I seized
Your luck
And your lives from your unfinished reach,
If I stole your births and your names,
Your straight baby tears and your games,
Your stilted or lovely loves, your tumults, your marriages, aches,
and your deaths,
If I poisoned the beginnings of your breaths,
Believe that even in my deliberateness I was not deliberate.
Though why should I whine,
Whine that the crime was other than mine?--
Since anyhow you are dead.
Or rather, or instead,
You were never made.
But that too, I am afraid,
Is faulty: oh, what shall I say, how is the truth to be said?
You were born, you had body, you died.
It is just that you never giggled or planned or cried.
Believe me, I loved you all.
Believe me, I knew you, though faintly, and I loved, I loved you
All."
67,Mark Strand,The New Poetry Handbook,"1 If a man understands a poem,
he shall have troubles.
2 If a man lives with a poem,
he shall die lonely.
3 If a man lives with two poems,
he shall be unfaithful to one.
4 If a man conceives of a poem,
he shall have one less child.
5 If a man conceives of two poems,
he shall have two children less.
6 If a man wears a crown on his head as he writes,
he shall be found out.
7 If a man wears no crown on his head as he writes,
he shall deceive no one but himself.
8 If a man gets angry at a poem,
he shall be scorned by men.
9 If a man continues to be angry at a poem,
he shall be scorned by women.
10 If a man publicly denounces poetry,
his shoes will fill with urine.
11 If a man gives up poetry for power,
he shall have lots of power.
12 If a man brags about his poems,
he shall be loved by fools.
13 If a man brags about his poems and loves fools,
he shall write no more.
14 If a man craves attention because of his poems,
he shall be like a jackass in moonlight.
15 If a man writes a poem and praises the poem of a fellow,
he shall have a beautiful mistress.
16 If a man writes a poem and praises the poem of a fellow overly,
he shall drive his mistress away.
17 If a man claims the poem of another,
his heart shall double in size.
18 If a man lets his poems go naked,
he shall fear death.
19 If a man fears death,
he shall be saved by his poems.
20 If a man does not fear death,
he may or may not be saved by his poems.
21 If a man finishes a poem,
he shall bathe in the blank wake of his passion
and be kissed by white paper."
68,Christina Rossetti,The Poor Ghost,"""Oh whence do you come, my dear friend, to me,
With your golden hair all fallen below your knee,
And your face as white as snowdrops on the lea,
And your voice as hollow as the hollow sea?""
""From the other world I come back to you,
My locks are uncurled with dripping drenching dew.
You know the old, whilst I know the new:
But tomorrow you shall know this too.""
""Oh not tomorrow into the dark, I pray;
Oh not tomorrow, too soon to go away:
Here I feel warm and well-content and gay:
Give me another year, another day.""
""Am I so changed in a day and a night
That mine own only love shrinks from me with fright,
Is fain to turn away to left or right
And cover up his eyes from the sight?""
""Indeed I loved you, my chosen friend,
I loved you for life, but life has an end;
Thro' sickness I was ready to tend:
But death mars all, which we cannot mend.
""Indeed I loved you; I love you yet
If you will stay where your bed is set,
Where I have planted a violet
Which the wind waves, which the dew makes wet.""
""Life is gone, then love too is gone,
It was a reed that I leant upon:
Never doubt 1 will leave you alone
And not wake you rattling bone with bone.
""I go home alone to my bed,
Dug deep at the foot and deep at the head,
Roofed in with a load of lead,
Warm enough for the forgotten dead.
""But why did your tears soak thro' the clay,
And why did your sobs wake me where I lay?
I was away, far enough away:
Let me sleep now till the Judgment Day."""
